Word,Frequency,Posting List
a,4,"[('http://example.python-scraping.com/places/default/view/United-Arab-Emirates-232', 113), ('http://example.python-scraping.com/places/default/iso/AE', 113), ('http://example.python-scraping.com/places/default/view/United-Arab-Emirates-232', 113), ('http://example.python-scraping.com/places/default/iso/AE', 113)]"
aaerartigkunti,4,"[('http://example.python-scraping.com/places/default/view/Eritrea-68', 177), ('http://example.python-scraping.com/places/default/iso/ER', 177), ('http://example.python-scraping.com/places/default/view/Eritrea-68', 177), ('http://example.python-scraping.com/places/default/iso/ER', 177)]"
ababa,4,"[('http://example.python-scraping.com/places/default/view/Ethiopia-70', 75), ('http://example.python-scraping.com/places/default/iso/ET', 75), ('http://example.python-scraping.com/places/default/view/Ethiopia-70', 75), ('http://example.python-scraping.com/places/default/iso/ET', 75)]"
abceghjklmnprstvxydabceghjklmnprstvwxyz,4,"[('http://example.python-scraping.com/places/default/view/Canada-41', 169), ('http://example.python-scraping.com/places/default/iso/CA', 169), ('http://example.python-scraping.com/places/default/view/Canada-41', 169), ('http://example.python-scraping.com/places/default/iso/CA', 169)]"
abu,4,"[('http://example.python-scraping.com/places/default/view/United-Arab-Emirates-232', 76), ('http://example.python-scraping.com/places/default/iso/AE', 76), ('http://example.python-scraping.com/places/default/view/United-Arab-Emirates-232', 76), ('http://example.python-scraping.com/places/default/iso/AE', 76)]"
abuja,4,"[('http://example.python-scraping.com/places/default/view/Nigeria-157', 69), ('http://example.python-scraping.com/places/default/iso/NG', 69), ('http://example.python-scraping.com/places/default/view/Nigeria-157', 69), ('http://example.python-scraping.com/places/default/iso/NG', 69)]"
accra,4,"[('http://example.python-scraping.com/places/default/view/Ghana-82', 67), ('http://example.python-scraping.com/places/default/iso/GH', 67), ('http://example.python-scraping.com/places/default/view/Ghana-82', 67), ('http://example.python-scraping.com/places/default/iso/GH', 67)]"
ad,12,"[('http://example.python-scraping.com/places/default/view/Andorra-6', 35), ('http://example.python-scraping.com/places/default/view/Andorra-6', 97), ('http://example.python-scraping.com/places/default/view/Andorra-6', 160), ('http://example.python-scraping.com/places/default/iso/AD', 35), ('http://example.python-scraping.com/places/default/iso/AD', 97), ('http://example.python-scraping.com/places/default/iso/AD', 160), ('http://example.python-scraping.com/places/default/view/Andorra-6', 35), ('http://example.python-scraping.com/places/default/view/Andorra-6', 97), ('http://example.python-scraping.com/places/default/view/Andorra-6', 160), ('http://example.python-scraping.com/places/default/iso/AD', 35), ('http://example.python-scraping.com/places/default/iso/AD', 97), ('http://example.python-scraping.com/places/default/iso/AD', 160)]"
adamstown,2,"[('http://example.python-scraping.com/places/default/view/Pitcairn-172', 70), ('http://example.python-scraping.com/places/default/view/Pitcairn-172', 70)]"
addi,4,"[('http://example.python-scraping.com/places/default/view/Ethiopia-70', 70), ('http://example.python-scraping.com/places/default/iso/ET', 70), ('http://example.python-scraping.com/places/default/view/Ethiopia-70', 70), ('http://example.python-scraping.com/places/default/iso/ET', 70)]"
